N,threads,time_std,time_minmax,time_gnu
100000,1,0.0163808,0.0102665,0.0198462
100000,2,0.0163808,0.0046191,0.0065199
100000,3,0.0163808,0.0051595,0.004674
100000,4,0.0163808,0.0038393,0.0038944
100000,5,0.0163808,0.0032167,0.0034806
100000,6,0.0163808,0.0030096,0.0031339
100000,7,0.0163808,0.0029457,0.002759
100000,8,0.0163808,0.0023748,0.0023749
100000,9,0.0163808,0.0026995,0.0022986
100000,10,0.0163808,0.0023543,0.0023217
100000,11,0.0163808,0.0022432,0.0020446
100000,12,0.0163808,0.0023642,0.0020132
100000,13,0.0163808,0.0025442,0.0019029
100000,14,0.0163808,0.0023066,0.0017214
100000,15,0.0163808,0.0023974,0.0017175
100000,16,0.0163808,0.0023312,0.0019161
100000,17,0.0163808,0.0022296,0.0019935
100000,18,0.0163808,0.0022966,0.0018718
100000,19,0.0163808,0.0019935,0.0020294
100000,20,0.0163808,0.0023266,0.0020898
100000,21,0.0163808,0.0024727,0.0022377
100000,22,0.0163808,0.002202,0.002184
100000,23,0.0163808,0.002096,0.0020591
100000,24,0.0163808,0.0024773,0.0019836
300000,1,0.0505386,0.0275608,0.0494906
300000,2,0.0505386,0.0152872,0.0183261
300000,3,0.0505386,0.01149,0.0139963
300000,4,0.0505386,0.0098096,0.0108877
300000,5,0.0505386,0.0098209,0.0098184
300000,6,0.0505386,0.0090975,0.008343
300000,7,0.0505386,0.0074066,0.0075416
300000,8,0.0505386,0.0066977,0.0066124
300000,9,0.0505386,0.0076819,0.0063673
300000,10,0.0505386,0.006332,0.0057031
300000,11,0.0505386,0.0057886,0.0053909
300000,12,0.0505386,0.0061451,0.0050207
300000,13,0.0505386,0.0070153,0.0045415
300000,14,0.0505386,0.0061985,0.004266
300000,15,0.0505386,0.0064036,0.004595
300000,16,0.0505386,0.0056847,0.0040751
300000,17,0.0505386,0.007417,0.0046041
300000,18,0.0505386,0.0054719,0.0040262
300000,19,0.0505386,0.0061696,0.0044274
300000,20,0.0505386,0.005464,0.0054081
300000,21,0.0505386,0.0056099,0.0043166
300000,22,0.0505386,0.0058832,0.0043546
300000,23,0.0505386,0.0059279,0.0041916
300000,24,0.0505386,0.0059882,0.0040709
1000000,1,0.168313,0.104096,0.179121
1000000,2,0.168313,0.0590944,0.0633904
1000000,3,0.168313,0.0422775,0.0390177
1000000,4,0.168313,0.0340038,0.0312645
1000000,5,0.168313,0.0303555,0.0300639
1000000,6,0.168313,0.0286486,0.0293007
1000000,7,0.168313,0.0286316,0.0262301
1000000,8,0.168313,0.0281533,0.0233455
1000000,9,0.168313,0.0280342,0.0209621
1000000,10,0.168313,0.0255811,0.0200323
1000000,11,0.168313,0.0261238,0.0185916
1000000,12,0.168313,0.0239519,0.0171825
1000000,13,0.168313,0.0239696,0.0165414
1000000,14,0.168313,0.0240325,0.319759
1000000,15,0.168313,0.0225837,0.0138829
1000000,16,0.168313,0.293073,0.0149455
1000000,17,0.168313,0.0234665,0.0140947
1000000,18,0.168313,0.0225588,0.0171787
1000000,19,0.168313,0.022854,0.0191876
1000000,20,0.168313,0.0207558,0.0147894
1000000,21,0.168313,0.0224008,0.0156579
1000000,22,0.168313,0.0214924,0.0172219
1000000,23,0.168313,0.0222978,0.0157695
1000000,24,0.168313,0.0224372,0.014634
3000000,1,0.552079,0.328435,0.572129
3000000,2,0.552079,0.171395,0.171715
3000000,3,0.552079,0.12265,0.120907
3000000,4,0.552079,0.0983624,0.0909079
3000000,5,0.552079,0.0889351,0.0871762
3000000,6,0.552079,0.076696,0.0837227
3000000,7,0.552079,0.0699949,0.0702833
3000000,8,0.552079,0.0662453,0.0670973
3000000,9,0.552079,0.0651176,0.0647145
3000000,10,0.552079,0.0621303,0.0576761
3000000,11,0.552079,0.0639095,0.0526209
3000000,12,0.552079,0.0644908,0.0500522
3000000,13,0.552079,0.0551925,0.0458445
3000000,14,0.552079,0.0635388,0.0444109
3000000,15,0.552079,0.0542795,0.0411845
3000000,16,0.552079,0.0579376,0.0387565
3000000,17,0.552079,0.0585074,0.0367851
3000000,18,0.552079,0.0509944,0.0352525
3000000,19,0.552079,0.0543639,0.0345459
3000000,20,0.552079,0.0482568,0.0334655
3000000,21,0.552079,0.0538483,0.0363515
3000000,22,0.552079,0.0513356,0.0439834
3000000,23,0.552079,0.0502916,0.038906
3000000,24,0.552079,0.0469635,0.0374821
10000000,1,1.96733,1.20458,2.19761
10000000,2,1.96733,0.702017,0.698641
10000000,3,1.96733,0.465388,0.5451
10000000,4,1.96733,0.589938,0.477586
10000000,5,1.96733,0.351358,0.367165
10000000,6,1.96733,0.315345,0.32028
10000000,7,1.96733,0.306622,0.341338
10000000,8,1.96733,0.329882,0.265134
10000000,9,1.96733,0.259617,0.226572
10000000,10,1.96733,0.248316,0.206218
10000000,11,1.96733,0.260625,0.192293
10000000,12,1.96733,0.251774,0.206236
10000000,13,1.96733,0.273114,0.188209
10000000,14,1.96733,0.228211,0.175201
10000000,15,1.96733,0.215638,0.15723
10000000,16,1.96733,0.219294,0.136834
10000000,17,1.96733,0.20742,0.131503
10000000,18,1.96733,0.213605,0.137909
10000000,19,1.96733,0.193607,0.123933
10000000,20,1.96733,0.199851,0.114639
10000000,21,1.96733,0.190011,0.125064
10000000,22,1.96733,0.197321,0.11881
10000000,23,1.96733,0.183092,0.112271
10000000,24,1.96733,0.184676,0.126256
30000000,1,6.27099,3.79963,6.56124
30000000,2,6.27099,1.96753,1.94627
30000000,3,6.27099,1.32837,1.38538
30000000,4,6.27099,1.31157,1.04264
30000000,5,6.27099,1.05074,1.01093
30000000,6,6.27099,0.92181,0.873207
30000000,7,6.27099,0.858346,0.810278
30000000,8,6.27099,0.809083,0.73593
30000000,9,6.27099,0.760004,0.668226
30000000,10,6.27099,0.750174,0.642944
30000000,11,6.27099,0.708801,0.59174
30000000,12,6.27099,0.69234,0.550027
30000000,13,6.27099,0.648311,0.506915
30000000,14,6.27099,0.624641,0.479899
30000000,15,6.27099,0.608382,0.446911
30000000,16,6.27099,0.587812,0.419849
30000000,17,6.27099,0.580964,0.413752
30000000,18,6.27099,0.598829,0.410864
30000000,19,6.27099,0.596761,0.684797
30000000,20,6.27099,0.613736,0.425687
30000000,21,6.27099,0.55112,0.392205
30000000,22,6.27099,0.567183,0.381201
30000000,23,6.27099,0.551575,0.384821
30000000,24,6.27099,0.562938,0.401359
